ITERATION,1
LENGTH,400.00
COORDS,71.66;35.21|78.05;68.39|31.38;29.81|39.14;95.27|73.45;54.49|81.50;68.97|8.18;24.39|16.77;63.31|75.40;61.74|84.28;49.64
ROUTE,0->4->9->1->8->7->6->5->3->2->0
ITERATION,1
LENGTH,352.00
COORDS,71.66;35.21|78.05;68.39|31.38;29.81|39.14;95.27|73.45;54.49|81.50;68.97|8.18;24.39|16.77;63.31|75.40;61.74|84.28;49.64
ROUTE,2->7->5->1->0->8->4->9->3->6->2
ITERATION,1
LENGTH,318.00
COORDS,71.66;35.21|78.05;68.39|31.38;29.81|39.14;95.27|73.45;54.49|81.50;68.97|8.18;24.39|16.77;63.31|75.40;61.74|84.28;49.64
ROUTE,3->6->2->9->0->4->8->1->5->7->3
ITERATION,1
LENGTH,275.00
COORDS,71.66;35.21|78.05;68.39|31.38;29.81|39.14;95.27|73.45;54.49|81.50;68.97|8.18;24.39|16.77;63.31|75.40;61.74|84.28;49.64
ROUTE,7->3->4->8->1->5->9->0->6->2->7
ITERATION,4
LENGTH,264.00
COORDS,71.66;35.21|78.05;68.39|31.38;29.81|39.14;95.27|73.45;54.49|81.50;68.97|8.18;24.39|16.77;63.31|75.40;61.74|84.28;49.64
ROUTE,9->4->8->1->5->3->7->2->6->0->9
ITERATION,5
LENGTH,244.00
COORDS,71.66;35.21|78.05;68.39|31.38;29.81|39.14;95.27|73.45;54.49|81.50;68.97|8.18;24.39|16.77;63.31|75.40;61.74|84.28;49.64
ROUTE,0->9->4->8->1->5->3->7->6->2->0
ITERATION,8
LENGTH,243.00
COORDS,71.66;35.21|78.05;68.39|31.38;29.81|39.14;95.27|73.45;54.49|81.50;68.97|8.18;24.39|16.77;63.31|75.40;61.74|84.28;49.64
ROUTE,0->9->4->8->5->1->3->7->6->2->0
